date,open,high,low,close,volume,ret,abs_ret,rupee_vol,amihud,log_amihud,cs_spread,hl_spread,zero_ret,turnover,log_rupee_vol,entity,type,invit,post,date_str
2024-08-29,92.4,92.6,92.0,92.12,807225.0,-0.0024905251759609337,0.0024905251759609337,74361567.0,0.033492101853648856,0.03294345797565044,0.004207057321312103,0.006500541711809256,0,807225.0,18.124449793753094,PGINVIT,InvIT,1,0,20240829
2024-08-30,92.47,92.47,91.8,91.86,1363374.0,-0.0028224055579679774,0.0028224055579679774,125239535.64,0.022536058949315804,0.02228587378911095,0.0026002815365155697,0.007271937917186756,0,1363374.0,18.645738746654505,PGINVIT,InvIT,1,0,20240830
2024-09-02,92.0,92.29,91.75,91.84,901451.0,-0.00021772262138031184,0.00021772262138031184,82789259.84,0.002629841380404734,0.0026263893983473783,0.0036880927063043297,0.00586828950228218,0,901451.0,18.231808898864855,PGINVIT,InvIT,1,0,20240902
2024-09-03,91.84,92.3,91.8,91.92,879106.0,0.0008710801393727596,0.0008710801393727596,80807423.52,0.010779704406206759,0.010722017586956541,0.004876016843693552,0.005431830526887562,0,879106.0,18.207579394518575,PGINVIT,InvIT,1,0,20240903
2024-09-04,91.96,92.0,91.5,91.67,1109083.0,-0.0027197563098346755,0.0027197563098346755,101669638.61,0.026750919419193907,0.026399369319621977,0.0,0.005449591280653951,0,1109083.0,18.43723927770583,PGINVIT,InvIT,1,0,20240904
2024-09-05,91.8,91.96,91.3,91.41,1215422.0,-0.0028362604996182705,0.0028362604996182705,111101725.02,0.025528501012092305,0.025208090452331584,0.003366334971072417,0.007202881152460948,0,1215422.0,18.525956781221993,PGINVIT,InvIT,1,0,20240905
2024-09-06,91.4,91.41,90.9,91.07,1962940.0,-0.0037195055245596853,0.0037195055245596853,178764945.79999998,0.02080668280861407,0.020593180225491833,0.0,0.005594865887773473,0,1962940.0,19.001582348910162,PGINVIT,InvIT,1,0,20240906
2024-09-09,91.21,91.77,90.91,91.69,802945.0,0.006807949928626433,0.006807949928626433,73622027.05,0.09247164471582468,0.08844269315726015,0.0034447647378022866,0.009415371140792637,0,802945.0,18.11445481949426,PGINVIT,InvIT,1,0,20240909
2024-09-10,92.05,92.4,90.82,91.1,2326740.0,-0.006434725706183864,0.006434725706183864,211966014.0,0.030357346372441876,0.029905680298066162,0.005800408608232491,0.01724702543390473,0,2326740.0,19.1719365084643,PGINVIT,InvIT,1,0,20240910
2024-09-11,91.4,91.94,91.0,91.44,2912894.0,0.003732162458836452,0.003732162458836452,266355027.35999998,0.014011984289645632,0.013914723925230152,0.006831040285563708,0.010276593418607169,0,2912894.0,19.40034066616323,PGINVIT,InvIT,1,0,20240911
2024-09-12,92.0,92.0,90.95,91.08,1217154.0,-0.003937007874015741,0.003937007874015741,110858386.32,0.03551384793434851,0.034897774950318636,0.009483320150227993,0.011478546050833531,0,1217154.0,18.523764145833397,PGINVIT,InvIT,1,0,20240912
2024-09-13,91.39,91.39,90.8,90.89,1972810.0,-0.0020860781730346334,0.0020860781730346334,179308700.9,0.011634004164683753,0.01156684948823263,0.00012206977043847169,0.006476755035951517,0,1972810.0,19.0046194644476,PGINVIT,InvIT,1,0,20240913
2024-09-16,91.0,91.49,90.69,90.74,1227199.0,-0.0016503465727802924,0.0016503465727802924,111356037.25999999,0.014820449913523551,0.014711700208772549,0.00514203807133078,0.008782522779668428,0,1227199.0,18.52824316896751,PGINVIT,InvIT,1,0,20240916
2024-09-17,91.24,91.49,90.81,90.85,920300.0,0.0012122547939166228,0.0012122547939166228,83609255.0,0.014499050301508163,0.014394944158610297,0.00661695533505594,0.007460230389467829,0,920300.0,18.24166477766913,PGINVIT,InvIT,1,0,20240917
2024-09-18,91.09,91.09,90.5,90.71,886218.0,-0.0015410016510731817,0.0015410016510731817,80388834.78,0.01916934926710206,0.018987932058493494,0.0,0.006498155184756907,0,886218.0,18.202385853610217,PGINVIT,InvIT,1,0,20240918
2024-09-19,90.98,91.0,90.43,90.49,1021755.0,-0.00242531143203617,0.00242531143203617,92458609.94999999,0.02623132051571764,0.025893179928926247,0.004266592789445993,0.006283415091219679,0,1021755.0,18.342271642342553,PGINVIT,InvIT,1,0,20240919
2024-09-20,90.88,90.88,90.0,90.17,2957203.0,-0.0035363023538511618,0.0035363023538511618,266650994.51,0.013261913237374192,0.01317474390830909,0.0012865578519003727,0.009730207872622684,0,2957203.0,19.401451224649534,PGINVIT,InvIT,1,0,20240920
2024-09-23,90.21,90.59,90.0,90.08,1188422.0,-0.0009981146722857215,0.0009981146722857215,107053053.76,0.009323551615102675,0.009280355593721201,0.004805164731861073,0.006534138102885026,0,1188422.0,18.488835099076045,PGINVIT,InvIT,1,0,20240923
2024-09-24,90.39,90.39,89.9,89.96,1490687.0,-0.001332149200710564,0.001332149200710564,134102202.52,0.009933835355999373,0.00988481915880842,0.0020608811736651145,0.005435686948804646,0,1490687.0,18.714112772576385,PGINVIT,InvIT,1,0,20240924
2024-09-25,90.37,90.37,89.81,89.94,1171455.0,-0.00022232103156949456,0.00022232103156949456,105360662.7,0.0021100952278795275,0.0021078721037306428,0.004394239298017006,0.006216006216006241,0,1171455.0,18.472899905242844,PGINVIT,InvIT,1,0,20240925
2024-09-26,90.0,90.0,89.52,89.66,1392577.0,-0.003113186568823645,0.003113186568823645,124858453.82,0.024933726740775725,0.024627953661760446,0.0,0.005347593582887745,0,1392577.0,18.642691284211892,PGINVIT,InvIT,1,0,20240926
2024-09-27,89.66,89.75,89.47,89.49,1293914.0,-0.0018960517510595576,0.0018960517510595576,115792363.86,0.016374583675932197,0.01624196592918462,0.000693547767055427,0.0031246512665997228,0,1293914.0,18.56730917844182,PGINVIT,InvIT,1,0,20240927
2024-09-30,89.75,89.75,88.88,88.91,3771707.0,-0.0064811710805676714,0.0064811710805676714,335342469.37,0.01932702139619743,0.019142626598723157,0.0011802857173887882,0.009740805015954817,0,3771707.0,19.630662864226867,PGINVIT,InvIT,1,0,20240930
2024-10-01,88.98,89.19,87.5,87.96,2110852.0,-0.010684962321448666,0.010684962321448666,185670541.92,0.05754796755024555,0.05595299029516515,0.0,0.019129548927500115,0,2110852.0,19.039484381106167,PGINVIT,InvIT,1,0,20241001
2024-10-03,87.5,87.96,87.42,87.5,1465779.0,-0.005229649840836625,0.005229649840836625,128255662.5,0.04077519650125877,0.03996581674585262,0.00012560148289240668,0.0061580567909680925,0,1465779.0,18.669536193087264,PGINVIT,InvIT,1,0,20241003
2024-10-04,87.52,88.76,87.19,87.96,2020307.0,0.005257142857142849,0.005257142857142849,177706203.72,0.029583338944239587,0.029154195102259434,0.002492861055064575,0.017845978971298748,0,2020307.0,18.995642203714148,PGINVIT,InvIT,1,0,20241004
2024-10-07,88.3,89.89,87.25,87.58,1132505.0,-0.004320145520691154,0.004320145520691154,99184787.89999999,0.04355653333701543,0.04263462272024274,0.010250688415091774,0.029806932369876943,0,1132505.0,18.41249521271387,PGINVIT,InvIT,1,0,20241007
2024-10-08,87.68,88.2,87.13,87.95,1439511.0,0.00422470883763415,0.00422470883763415,126604992.45,0.03336921203405632,0.03282454354349999,0.0024764920202756404,0.012205555238692836,0,1439511.0,18.65658250173094,PGINVIT,InvIT,1,0,20241008
2024-10-09,88.68,88.68,87.25,87.44,1264661.0,-0.005798749289368965,0.005798749289368965,110581957.84,0.052438475522011654,0.05110982930477248,0.006508110588177115,0.016256465639743155,0,1264661.0,18.52126750390814,PGINVIT,InvIT,1,0,20241009
2024-10-10,87.91,88.5,87.55,88.33,1210262.0,0.010178408051235044,0.010178408051235044,106902442.46,0.09521211879741223,0.09094806030470545,0.00786137747209471,0.010792388525986968,0,1210262.0,18.48742722381658,PGINVIT,InvIT,1,0,20241010
2024-10-11,88.49,89.29,87.67,88.93,2536862.0,0.00679270915883623,0.00679270915883623,225603137.66000003,0.030109107653783277,0.0296647263923381,0.0038008491519457596,0.018309222423146525,0,2536862.0,19.234287985558836,PGINVIT,InvIT,1,0,20241011
2024-10-14,88.56,89.49,88.5,88.84,2507613.0,-0.0010120319352300289,0.0010120319352300289,222776338.92000002,0.004542816082427201,0.004532528637661344,0.0021175013511735437,0.01112422046182364,0,2507613.0,19.22167886163465,PGINVIT,InvIT,1,0,20241014
2024-10-15,88.85,89.18,88.42,88.48,1050962.0,-0.004052228725799134,0.004052228725799134,92989117.76,0.043577451033116825,0.04265466714121306,0.004845300916088655,0.008558558558558615,0,1050962.0,18.3479930309376,PGINVIT,InvIT,1,0,20241015
2024-10-16,88.79,89.25,88.48,88.96,851494.0,0.005424954792043302,0.005424954792043302,75748906.24,0.07161759900341105,0.06916928166227841,0.006846317769354776,0.008664828672705745,0,851494.0,18.1429345631736,PGINVIT,InvIT,1,0,20241016
2024-10-17,88.96,89.02,88.62,88.85,876640.0,-0.001236510791366885,0.001236510791366885,77889464.0,0.015875199646602844,0.015750506617953342,0.0026567150099001216,0.004503490204908709,0,876640.0,18.170801251372904,PGINVIT,InvIT,1,0,20241017
2024-10-18,88.85,88.99,88.8,88.93,534366.0,0.0009003939223410917,0.0009003939223410917,47521168.38,0.018947217693410838,0.01876995475712449,0.0011623397984397818,0.0021373530569773072,0,534366.0,17.67668581983762,PGINVIT,InvIT,1,0,20241018
2024-10-21,88.9,89.0,88.79,88.9,1353352.0,-0.0003373439784100096,0.0003373439784100096,120312992.80000001,0.0028038865176497345,0.0027999629602764356,0.001987860768190543,0.0023623375892906657,0,1353352.0,18.60560717843799,PGINVIT,InvIT,1,0,20241021
2024-10-22,88.9,88.95,88.5,88.5,952682.0,-0.004499437570303799,0.004499437570303799,84312357.0,0.053366288529969566,0.051991025020381276,0.0,0.005071851225697412,0,952682.0,18.250038995859647,PGINVIT,InvIT,1,0,20241022
2024-10-23,88.55,88.9,87.75,88.83,793863.0,0.003728813559322086,0.003728813559322086,70518850.28999999,0.05287683426470801,0.05152625980047393,0.0009432086379922869,0.013020096235493979,0,793863.0,18.071390612042837,PGINVIT,InvIT,1,0,20241023
2024-10-24,88.83,88.9,88.0,88.34,586209.0,-0.005516154452324562,0.005516154452324562,51785703.06,0.1065188676869643,0.10121893204634029,0.008460315285992987,0.010175240248728158,0,586209.0,17.762624666431254,PGINVIT,InvIT,1,0,20241024
2024-10-25,88.47,88.92,87.95,88.5,746376.0,0.0018111840615802066,0.0018111840615802066,66054276.0,0.02741963384142166,0.02705044908978897,0.009639708185468426,0.010968507943687441,0,746376.0,18.005987325671356,PGINVIT,InvIT,1,0,20241025
2024-10-28,88.75,89.5,88.5,88.66,1127536.0,0.0018079096045198195,0.0018079096045198195,99967341.75999999,0.01808500228864963,0.017923413943685927,0.0,0.011235955056179775,0,1127536.0,18.42035410821272,PGINVIT,InvIT,1,0,20241028
2024-10-29,88.75,89.98,88.3,89.76,910227.0,0.012406947890818865,0.012406947890818865,81701975.52000001,0.15185615539714506,0.14137468937075814,0.007472255071176183,0.018846757908907413,0,910227.0,18.218588739709254,PGINVIT,InvIT,1,0,20241029
2024-10-30,89.08,90.1,89.0,89.88,718409.0,0.0013368983957218195,0.0013368983957218195,64570600.919999994,0.0207044440763092,0.020493020367390695,0.005593469051343811,0.01228364042434388,0,718409.0,17.983269771048427,PGINVIT,InvIT,1,0,20241030
2024-10-31,89.9,90.5,89.6,90.47,697653.0,0.006564307966177241,0.006564307966177241,63116666.91,0.10400276642518988,0.09894245367168238,0.0,0.009994447529150536,0,697653.0,17.960495427499264,PGINVIT,InvIT,1,0,20241031
2024-11-04,91.09,91.2,89.8,90.51,986920.0,0.0004421355145352024,0.0004421355145352024,89326129.2,0.004949677306012744,0.004937467925052365,0.0017335345328815632,0.015469613259668571,0,986920.0,18.307804603271595,PGINVIT,InvIT,1,0,20241104
2024-11-05,90.5,93.0,90.04,91.91,1302048.0,0.015467904098994456,0.015467904098994456,119671231.67999999,0.12925332080107205,0.12155663626206446,0.0020280033210691153,0.03234265734265727,0,1302048.0,18.600258804800568,PGINVIT,InvIT,1,0,20241105
2024-11-06,91.9,93.05,91.5,92.02,965330.0,0.0011968229790011442,0.0011968229790011442,88829666.6,0.013473235066731008,0.013383278141604888,0.00860492106584438,0.016797615822270354,0,965330.0,18.302231235502322,PGINVIT,InvIT,1,0,20241106
2024-11-07,92.44,92.59,91.8,91.92,447791.0,-0.0010867202782003371,0.0010867202782003371,41160948.72,0.026401730572169792,0.026059220378049235,0.004971588215001942,0.008568794403167268,0,447791.0,17.53300051822717,PGINVIT,InvIT,1,0,20241107
2024-11-08,91.91,91.91,90.7,91.14,788096.0,-0.008485639686684032,0.008485639686684032,71827069.44,0.11813985664238222,0.11166646229587816,0.0,0.013252286293193074,0,788096.0,18.089771974666565,PGINVIT,InvIT,1,0,20241108
2024-11-11,91.48,91.8,91.14,91.72,1281740.0,0.00636383585692335,0.00636383585692335,117561192.8,0.054132113713321814,0.0527177873431855,0.00443485736465036,0.007215480485405014,0,1281740.0,18.582469545771787,PGINVIT,InvIT,1,0,20241111
2024-11-12,89.0,89.2,88.51,88.86,765693.0,-0.031181857828172732,0.031181857828172732,68039479.98,0.4582906547395504,0.377264965391779,0.0,0.0077654605818468034,0,765693.0,18.035598682605585,PGINVIT,InvIT,1,0,20241112
