date,open,high,low,close,volume,ret,abs_ret,rupee_vol,amihud,hl_spread,zero_ret,log_rupee_vol,entity,type,exchange,period
2025-07-22,157.11,157.5,156.8,157.25,17096.0,0.002422387964556627,0.002422387964556627,2688346.0,0.9010700127723987,0.004454342984409727,0,14.804436692579534,INDIGRID,InvIT,NSE,pre
2025-07-23,157.5,157.87,157.33,157.57,24614.0,0.002034976152623269,0.002034976152623269,3878427.98,0.524690973538013,0.0034263959390862433,0,15.170940469706236,INDIGRID,InvIT,NSE,pre
2025-07-24,157.9,157.9,157.13,157.62,13450.0,0.0003173192866663399,0.0003173192866663399,2119989.0,0.14967968544475463,0.004888423324762786,0,14.56692145795549,INDIGRID,InvIT,NSE,pre
2025-07-25,157.0,157.98,156.11,157.56,61672.0,-0.0003806623524933439,0.0003806623524933439,9717040.32,0.03917472192740103,0.011907415072112935,0,16.089391636241803,INDIGRID,InvIT,NSE,pre
2025-07-28,157.97,158.53,157.5,158.19,70472.0,0.003998476770753934,0.003998476770753934,11147965.68,0.3586732221401971,0.0065183685093187435,0,16.22676758900012,INDIGRID,InvIT,NSE,pre
2025-07-29,154.96,157.86,154.96,156.43,41943.0,-0.011125861306024332,0.011125861306024332,6561143.49,1.695719857823797,0.01854101400166233,0,15.696675458229613,INDIGRID,InvIT,NSE,pre
2025-07-30,155.11,157.98,155.11,156.05,576056.0,-0.0024292015598030847,0.0024292015598030847,89893538.80000001,0.027023094120342765,0.01833338656616293,0,18.314136625891265,INDIGRID,InvIT,NSE,pre
2025-07-31,156.05,156.7,155.2,156.13,457620.0,0.0005126561999357904,0.0005126561999357904,71448210.6,0.007175213985496096,0.009618467457518437,0,18.08448341793977,INDIGRID,InvIT,NSE,pre
2025-08-01,155.21,157.01,155.21,156.05,165563.0,-0.0005123935182218542,0.0005123935182218542,25836106.150000002,0.019832459088338826,0.011530331176734243,0,17.067283534734205,INDIGRID,InvIT,NSE,pre
2025-08-04,156.3,156.87,154.0,156.17,473920.0,0.0007689842999036856,0.0007689842999036856,74012086.39999999,0.010389982735356122,0.018464309840126127,0,18.119738967561325,INDIGRID,InvIT,NSE,pre
